-- TABLE: users (15 records)
INSERT INTO users (user_id, username, email) VALUES 
(1, 'alice_jones', 'alice.jones@example.com'),
(2, 'bob_brown', 'bob.brown@example.com'),
(3, 'charlie_lee', 'charlie.lee@test.com'),
(4, 'david_clark', 'david.clark@example.com'),
(5, 'emily_williams', 'emily.williams@test.com'),
(6, 'frank_miller', 'frank.miller@example.com'),
(7, 'grace_king', 'grace.king@test.com'),
(8, 'hannah_white', 'hannah.white@example.com'),
(9, 'ian_green', 'ian.green@example.com'),
(10, 'jake_harris', 'jake.harris@test.com'),
(11, 'kate_scott', 'kate.scott@example.com'),
(12, 'luke_adams', 'luke.adams@test.com'),
(13, 'mike_james', 'mike.james@example.com'),
(14, 'nora_moore', 'nora.moore@test.com'),
(15, 'olivia_taylor', 'olivia.taylor@example.com');

-- TABLE: orders (40 records)
INSERT INTO orders (order_id, user_id, order_date) VALUES 
(1, 1, '2023-01-01'),
(2, 1, '2023-01-05'),
(3, 2, '2023-01-02'),
(4, 3, '2023-01-01'),
(5, 3, '2023-01-03'),
(6, 4, '2023-01-04'),
(7, 4, '2023-01-07'),
(8, 5, '2023-01-02'),
(9, 5, '2023-01-06'),
(10, 6, '2023-01-05'),
(11, 6, '2023-01-08'),
(12, 7, '2023-01-01'),
(13, 8, '2023-01-03'),
(14, 8, '2023-01-09'),
(15, 9, '2023-01-01'),
(16, 10, '2023-01-02'),
(17, 10, '2023-01-06'),
(18, 11, '2023-01-04'),
(19, 11, '2023-01-10'),
(20, 12, '2023-01-01'),
(21, 12, '2023-01-03'),
(22, 13, '2023-01-02'),
(23, 13, '2023-01-05'),
(24, 14, '2023-01-04'),
(25, 14, '2023-01-08'),
(26, 15, '2023-01-02'),
(27, 15, '2023-01-09'),
(28, 1, '2023-01-06'),
(29, 2, '2023-01-03'),
(30, 3, '2023-01-07'),
(31, 4, '2023-01-08'),
(32, 5, '2023-01-01'),
(33, 6, '2023-01-05'),
(34, 7, '2023-01-02'),
(35, 8, '2023-01-10'),
(36, 9, '2023-01-06'),
(37, 10, '2023-01-04'),
(38, 11, '2023-01-03'),
(39, 12, '2023-01-07'),
(40, 13, '2023-01-09');

-- WARNING: Consider implementing ON DELETE CASCADE for foreign keys to maintain data integrity.
